20;Berettyóújfalu;Alkotmány utca 62;2016.08.01;v8.1;12;-;2016.12.01;ATM;Soft 4.0;192.168.75.109;Windows;895651611
21;Szombathely;Szabadság utca 20;2019.12.09;v2.5;13;raktárban;2020.08.09;ATM;Soft 2.6;192.168.47.62;Windows;225747037
22;Pilisszentiván;Madách utca 28;2024.04.21;v3.9;16;-;2025.07.21;ATM;Soft 4.9;192.168.230.173;Windows;510064550
23;Gárdony;Kossuth tér 21;2017.01.23;v6.4;16;aktív;2018.07.23;ATM;Soft 1.9;192.168.248.184;Windows;895976616
24;Kecskemét;Jókai utca 91;2018.01.09;v2.4;20;-;2019.05.09;ATM;Soft 1.2;192.168.227.246;Windows;783031354
25;Orosháza;Sport utca 25;2016.04.04;v3.2;19;aktív;2017.08.04;ATM;Soft 3.8;192.168.32.31;Windows;966964065
26;Balatonalmádi;Honvéd utca 36;2021.12.01;v8.3;14;-;2022.10.01;ATM;Soft 4.2;192.168.183.168;Windows;790854446
27;Gödöllő;Honvéd utca 79;2021.11.27;v9.3;14;-;2023.08.27;ATM;Soft 1.5;192.168.135.18;Windows;680210384
28;Kisvárda;Munkás utca 19;2019.11.23;v3.7;13;aktív;2020.05.23;ATM;Soft 3.1;192.168.78.130;Windows;487707532
29;Sárbogárd;Csokonai utca 36;2018.10.23;v7.5;16;aktív;2019.10.23;ATM;Soft 4.0;192.168.231.221;Windows;967162822
30;Füzesabony;Szőlő utca 8;2021.04.19;v3.8;17;-;2021.09.19;ATM;Soft 3.3;192.168.53.105;Windows;101371303
31;Gárdony;Új utca 54;2022.10.12;v6.4;13;-;2023.10.12;ATM;Soft 3.5;192.168.134.186;Windows;842044402
32;Jászapáti;Nyár utca 15;2023.03.14;v8.2;17;aktív;2023.11.14;ATM;Soft 4.3;192.168.38.6;Windows;955507111
33;Törökszentmiklós;Szőlő utca 23;2024.02.20;v4.1;20;aktív;2025.07.20;ATM;Soft 3.0;192.168.246.8;Windows;536309315
34;Szentendre;Közép utca 46;2015.09.17;v4.5;20;aktív;2016.07.17;ATM;Soft 4.0;192.168.15.204;Windows;568192024
35;Gárdony;Madách utca 69;2024.04.06;v2.3;18;aktív;2025.07.06;ATM;Soft 1.3;192.168.71.205;Windows;213218429
36;Kiskunfélegyháza;Honvéd utca 13;2018.09.28;v6.1;19;-;2019.05.28;ATM;Soft 4.9;192.168.218.231;Windows;959872961
37;Csongrád;Arany János utca 55;2021.03.15;v8.1;13;-;2022.11.15;ATM;Soft 1.1;192.168.1.169;Windows;862095116
38;Sárbogárd;Bem utca 85;2019.01.04;v4.1;14;-;2019.07.04;ATM;Soft 1.1;192.168.69.116;Windows;492152536
39;Pilisvörösvár;Erkel Ferenc utca 19;2015.07.28;v8.8;12;aktív;2015.12.28;ATM;Soft 4.6;192.168.21.95;Windows;534675171
40;Tatabánya;Közép utca 26;2016.06.30;v5.1;18;-;2017.12.30;ATM;Soft 3.5;192.168.124.116;Windows;657193508
41;Kisvárda;Akácfa utca 72;2019.02.12;v9.2;13;aktív;2019.12.12;ATM;Soft 2.1;192.168.175.42;Windows;447551410
42;Sopron;Nyár utca 65;2022.09.13;v6.7;12;aktív;2024.05.13;ATM;Soft 1.6;192.168.250.5;Windows;654859351
43;Veszprém;Csokonai utca 68;2017.08.27;v5.6;17;-;2018.01.27;ATM;Soft 1.4;192.168.122.93;Windows;751705318
44;Körmend;Hunyadi utca 8;2023.01.16;v5.5;20;aktív;2023.05.16;ATM;Soft 4.1;192.168.27.209;Windows;948451107
45;Szekszárd;Tavasz utca 75;2020.12.12;v1.7;15;raktárban;2021.08.12;ATM;Soft 1.4;192.168.184.4;Windows;721524625
46;Tolna;Orgona utca 20;2015.01.30;v2.1;15;aktív;2016.10.30;ATM;Soft 4.8;192.168.200.61;Windows;167868668
47;Ózd;Kossuth utca 45;2016.12.10;v6.5;16;-;2017.12.10;ATM;Soft 4.1;192.168.112.141;Windows;438136731
48;Siklós;Sport utca 40;2021.07.12;v7.3;19;-;2023.03.12;ATM;Soft 3.4;192.168.248.241;Windows;911384822
49;Ráckeve;Táncsics Mihály utca 7;2022.05.03;v6.9;15;-;2024.04.03;ATM;Soft 2.3;192.168.223.238;Windows;840085574
50;Veszprém;Orgona utca 19;2015.02.09;v4.7;16;raktárban;2016.10.09;ATM;Soft 2.4;192.168.121.76;Windows;186182302
51;Szentendre;Rózsa utca 24;2023.01.19;v6.4;14;raktárban;2024.06.19;ATM;Soft 3.0;192.168.113.57;Windows;649002247
52;Gödöllő;Hunyadi utca 42;2018.10.31;v6.5;18;-;2020.08.31;ATM;Soft 1.2;192.168.167.146;Windows;144299200
53;Hódmezővásárhely;Iskola utca 8;2019.11.08;v9.5;16;-;2020.11.08;ATM;Soft 3.9;192.168.183.131;Windows;778355144
54;Makó;Közép utca 10;2019.11.22;v5.7;19;aktív;2021.05.22;ATM;Soft 2.2;192.168.105.11;Windows;865475111
55;Kunszentmiklós;Orgona utca 17;2017.01.18;v2.5;14;raktárban;2018.02.18;ATM;Soft 2.7;192.168.166.37;Windows;209721844
56;Nyírbátor;Madách utca 13;2024.01.04;v3.6;19;aktív;2025.09.04;ATM;Soft 1.0;192.168.211.182;Windows;771214434
57;Csömör;Hegyalja utca 29;2024.01.29;v2.6;16;aktív;2024.04.29;ATM;Soft 3.8;192.168.78.85;Windows;770117860
58;Eger;Temető utca 20;2016.04.18;v9.4;15;-;2017.01.18;ATM;Soft 4.0;192.168.162.93;Windows;118018928
59;Szekszárd;Jókai utca 1;2022.11.23;v5.3;16;aktív;2023.10.23;ATM;Soft 3.4;192.168.71.84;Windows;599618771
60;Jászapáti;Gyöngyvirág utca 4;2016.12.19;v8.8;17;-;2017.12.19;ATM;Soft 3.6;192.168.168.0;Windows;238874807
61;Kiskunfélegyháza;Béke utca 37;2015.03.21;v7.6;17;raktárban;2015.08.21;ATM;Soft 4.2;192.168.22.214;Windows;449657656
62;Lőrinci;Rét utca 30;2019.06.20;v8.9;19;-;2020.03.20;ATM;Soft 2.6;192.168.88.176;Windows;216203368
63;Füzesabony;Madách utca 51;2016.06.08;v5.3;19;aktív;2017.03.08;ATM;Soft 4.1;192.168.19.166;Windows;725156289
64;Marcali;Madách utca 36;2015.06.26;v4.9;15;raktárban;2016.06.26;ATM;Soft 4.7;192.168.52.28;Windows;844908451
65;Mór;Kossuth tér 80;2024.01.17;v7.0;14;aktív;2025.04.17;ATM;Soft 4.7;192.168.174.204;Windows;760887499
66;Mór;Kossuth utca 5;2024.09.21;v7.2;19;-;2024.12.21;ATM;Soft 2.0;192.168.253.103;Windows;327538869
67;Ózd;Vörösmarty utca 63;2024.04.30;v1.3;12;-;2025.09.30;ATM;Soft 3.6;192.168.139.10;Windows;496862604
68;Győr;Árpád utca 5;2022.10.18;v9.6;14;aktív;2024.02.18;ATM;Soft 1.3;192.168.116.220;Windows;140666014
69;Nagykáta;Árpád utca 73;2019.06.18;v2.8;16;aktív;2020.05.18;ATM;Soft 3.0;192.168.2.224;Windows;784612678
70;Kiskunfélegyháza;Honvéd utca 2;2016.05.31;v4.4;20;-;2016.12.31;ATM;Soft 1.4;192.168.11.124;Windows;154468000
71;Mosonmagyaróvár;Bartók Béla utca 58;2016.12.24;v9.1;12;-;2018.11.24;ATM;Soft 2.7;192.168.253.36;Windows;496223226
72;Siklós;Fő utca 99;2019.03.16;v3.0;20;-;2019.08.16;ATM;Soft 2.4;192.168.169.13;Windows;911490730
73;Sümeg;Rákóczi tér 78;2022.11.08;v8.6;20;-;2023.02.08;ATM;Soft 3.3;192.168.221.107;Windows;109400508
74;Tiszafüred;Hegyalja utca 77;2015.06.06;v1.0;12;-;2017.05.06;ATM;Soft 4.4;192.168.67.190;Windows;258926942
75;Budapest;Orgona utca 84;2015.01.28;v6.9;13;raktárban;2015.04.28;ATM;Soft 1.1;192.168.51.134;Windows;926401725
76;Orosháza;Jókai utca 34;2017.04.01;v2.1;12;-;2017.11.01;ATM;Soft 1.1;192.168.112.66;Windows;521011820
77;Berettyóújfalu;Széchenyi utca 91;2016.11.16;v5.5;12;-;2018.02.16;ATM;Soft 3.4;192.168.66.126;Windows;743865144
78;Sümeg;Bem utca 91;2020.11.20;v6.5;16;-;2021.02.20;ATM;Soft 3.8;192.168.166.136;Windows;366716545
79;Eger;Csokonai utca 87;2022.10.06;v4.4;18;-;2023.03.06;ATM;Soft 2.0;192.168.46.8;Windows;749100578
80;Celldömölk;Új utca 28;2021.02.15;v7.0;18;-;2021.12.15;ATM;Soft 1.7;192.168.98.155;Windows;589681432
81;Hajdúszoboszló;Honvéd utca 36;2024.01.03;v3.2;17;-;2024.05.03;ATM;Soft 2.3;192.168.195.225;Windows;986460188
82;Kaba;Honvéd utca 53;2021.08.11;v2.7;17;-;2023.05.11;ATM;Soft 4.0;192.168.211.22;Windows;157563556
83;Sárbogárd;Hegyalja utca 86;2024.04.11;v9.4;13;-;2026.01.11;ATM;Soft 3.0;192.168.212.89;Windows;886174960
84;Csömör;Deák Ferenc utca 55;2017.11.12;v2.5;18;-;2019.05.12;ATM;Soft 1.9;192.168.231.128;Windows;614154656
85;Nagykőrös;Kossuth utca 67;2024.05.29;v7.5;19;aktív;2024.09.29;ATM;Soft 3.8;192.168.77.111;Windows;407856026
86;Gyöngyös;Gyöngyvirág utca 11;2017.12.25;v7.6;14;-;2018.07.25;ATM;Soft 4.1;192.168.82.154;Windows;930639670
87;Mosonmagyaróvár;Béke utca 29;2018.05.28;v8.9;16;-;2019.03.28;ATM;Soft 4.1;192.168.53.149;Windows;388386527
88;Vác;Fő utca 71;2017.04.04;v5.2;19;aktív;2018.11.04;ATM;Soft 1.0;192.168.172.235;Windows;326999955
89;Dunaújváros;Jókai utca 28;2023.02.25;v8.3;15;raktárban;2024.08.25;ATM;Soft 1.4;192.168.224.86;Windows;150295213
90;Hajdúböszörmény;Erkel Ferenc utca 92;2019.03.24;v5.8;18;-;2020.01.24;ATM;Soft 2.8;192.168.149.149;Windows;714007388
91;Kecskemét;Honvéd utca 14;2015.09.06;v3.6;15;-;2016.10.06;ATM;Soft 4.2;192.168.36.1;Windows;376586847
92;Hajdúszoboszló;Szabadság utca 56;2015.09.30;v1.8;20;-;2016.08.30;ATM;Soft 4.8;192.168.221.207;Windows;553529680
93;Zirc;Hunyadi utca 83;2022.11.11;v4.6;14;aktív;2023.03.11;ATM;Soft 2.6;192.168.161.38;Windows;275036495
94;Komárom;Rákóczi tér 50;2020.08.15;v7.7;15;aktív;2021.02.15;ATM;Soft 1.5;192.168.220.82;Windows;800544385
95;Mór;Gyöngyvirág utca 23;2016.07.20;v8.2;14;-;2018.02.20;ATM;Soft 4.2;192.168.184.244;Windows;909238557
96;Dunakeszi;Honvéd utca 15;2020.09.30;v6.9;20;raktárban;2022.05.30;ATM;Soft 3.9;192.168.244.86;Windows;231587274
97;Székesfehérvár;Táncsics Mihály utca 27;2022.04.07;v7.9;16;raktárban;2023.06.07;ATM;Soft 4.5;192.168.239.29;Windows;762575712
98;Balassagyarmat;Munkás utca 41;2019.03.17;v7.7;17;aktív;2020.10.17;ATM;Soft 2.6;192.168.23.113;Windows;905613982
99;Ráckeve;Táncsics Mihály utca 94;2016.09.08;v7.2;19;-;2018.02.08;ATM;Soft 1.8;192.168.134.22;Windows;582593078
100;Mór;Új utca 31;2020.01.03;v2.2;16;-;2021.10.03;ATM;Soft 3.0;192.168.110.36;Windows;373033727
101;Sopron;Zrínyi utca 33;2022.05.28;v7.1;14;-;2023.12.28;ATM;Soft 1.0;192.168.165.196;Windows;865025149
102;Bonyhád;Szent István utca 1;2016.10.13;v1.8;15;-;2017.02.13;ATM;Soft 1.1;192.168.131.208;Windows;533452777
103;Pilisvörösvár;Sport utca 3;2018.08.15;v4.5;12;-;2019.06.15;ATM;Soft 1.1;192.168.104.108;Windows;255157556
104;Kazincbarcika;Hegyalja utca 73;2021.12.08;v4.6;18;aktív;2022.08.08;ATM;Soft 3.1;192.168.221.97;Windows;120924484
105;Tiszaújváros;Alkotmány utca 16;2016.05.01;v6.8;20;-;2016.11.01;ATM;Soft 2.3;192.168.198.170;Windows;749506629
106;Eger;Csokonai utca 44;2020.07.16;v2.5;18;aktív;2022.03.16;ATM;Soft 3.5;192.168.104.83;Windows;783189483
107;Kaba;Rákóczi utca 14;2018.03.28;v8.1;20;raktárban;2018.11.28;ATM;Soft 4.2;192.168.62.246;Windows;581922453
108;Csongrád;Új utca 94;2015.07.19;v5.9;12;-;2016.11.19;ATM;Soft 3.0;192.168.230.250;Windows;991052066
109;Gyöngyös;Akácfa utca 19;2015.03.28;v3.7;19;-;2016.10.28;ATM;Soft 4.8;192.168.22.246;Windows;585605894
110;Püspökladány;Közép utca 38;2016.09.15;v5.1;17;-;2018.01.15;ATM;Soft 4.2;192.168.228.120;Windows;183973109
111;Kiskunhalas;Szent István utca 10;2018.03.24;v1.2;15;-;2019.10.24;ATM;Soft 4.3;192.168.39.239;Windows;983880460
112;Ajka;Bartók Béla utca 72;2021.04.06;v6.8;12;aktív;2023.02.06;ATM;Soft 2.3;192.168.72.89;Windows;545511771
113;Balatonfüred;Deák Ferenc utca 34;2017.09.02;v4.2;16;-;2018.01.02;ATM;Soft 2.5;192.168.183.160;Windows;829187351
114;Nyírbátor;Nyár utca 74;2022.02.16;v3.2;14;aktív;2023.03.16;ATM;Soft 3.4;192.168.237.91;Windows;711667785
115;Miskolc;Deák Ferenc utca 18;2016.01.02;v9.8;20;aktív;2017.03.02;ATM;Soft 3.9;192.168.118.156;Windows;127557383
116;Hajdúszoboszló;Táncsics Mihály utca 82;2016.10.13;v6.0;12;-;2018.05.13;ATM;Soft 1.4;192.168.46.156;Windows;155632931
117;Győr;Arany János utca 96;2024.09.13;v9.4;20;aktív;2026.01.13;ATM;Soft 2.1;192.168.251.52;Windows;658405514
118;Csömör;Vasút utca 24;2018.01.14;v6.2;13;aktív;2018.08.14;ATM;Soft 2.8;192.168.179.134;Windows;856043918
119;Gárdony;Vörösmarty utca 88;2015.03.02;v9.9;16;-;2016.11.02;ATM;Soft 3.8;192.168.154.139;Windows;157589087
120;Győr;Gyöngyvirág utca 37;2020.11.18;v2.8;20;-;2022.10.18;ATM;Soft 1.3;192.168.141.179;Windows;865538758
121;Pilisszentiván;Iskola utca 78;2021.10.11;v3.2;16;aktív;2021.12.11;ATM;Soft 2.5;192.168.197.62;Windows;348329648
122;Tolna;Zrínyi utca 77;2016.07.30;v7.6;18;-;2017.09.30;ATM;Soft 1.4;192.168.231.194;Windows;680196246
123;Kaba;Jázmin utca 84;2023.01.13;v9.3;14;aktív;2023.03.13;ATM;Soft 1.9;192.168.16.14;Windows;653216713
124;Hajdúböszörmény;Rákóczi utca 98;2020.07.28;v2.5;15;raktárban;2022.05.28;ATM;Soft 4.2;192.168.57.239;Windows;639431925
125;Csömör;Virág utca 29;2021.09.19;v1.8;20;raktárban;2022.12.19;ATM;Soft 2.9;192.168.59.169;Windows;650354929
126;Gyula;Virág utca 23;2023.10.17;v7.7;12;-;2024.02.17;ATM;Soft 2.6;192.168.148.165;Windows;374363263
127;Orosháza;Tavasz utca 71;2024.09.14;v3.6;19;aktív;2025.06.14;ATM;Soft 2.3;192.168.195.102;Windows;927893803
128;Érd;Ady Endre utca 1;2023.12.21;v2.7;20;-;2024.12.21;ATM;Soft 1.4;192.168.180.245;Windows;586617155
129;Gyál;Rét utca 44;2020.12.21;v3.7;12;aktív;2022.06.21;ATM;Soft 3.5;192.168.230.107;Windows;672514494
130;Püspökladány;Madách utca 25;2015.02.25;v5.4;16;raktárban;2016.09.25;ATM;Soft 3.9;192.168.39.98;Windows;587587666
131;Tiszafüred;Csokonai utca 80;2016.05.20;v9.0;12;raktárban;2017.11.20;ATM;Soft 1.0;192.168.237.206;Windows;227814234
132;Győr;Béke utca 15;2020.11.30;v6.1;16;-;2021.11.30;ATM;Soft 1.1;192.168.66.37;Windows;893663825
133;Cegléd;Kert utca 74;2024.09.18;v8.2;14;-;2026.02.18;ATM;Soft 4.3;192.168.248.111;Windows;603027270
134;Budakeszi;Táncsics Mihály utca 89;2020.01.17;v7.3;13;raktárban;2020.11.17;ATM;Soft 2.1;192.168.166.235;Windows;456907627
135;Győr;Munkás utca 3;2021.08.27;v6.5;20;aktív;2021.11.27;ATM;Soft 4.5;192.168.1.26;Windows;294867674
136;Berettyóújfalu;Mátyás király utca 44;2016.09.22;v1.1;13;aktív;2016.10.22;ATM;Soft 1.1;192.168.159.159;Windows;473726986
137;Kunszentmiklós;Templom utca 48;2023.02.17;v3.0;12;raktárban;2024.01.17;ATM;Soft 1.3;192.168.172.51;Windows;726395780
138;Gyula;Kert utca 47;2016.04.09;v8.8;15;-;2017.04.09;ATM;Soft 3.6;192.168.246.58;Windows;181181850
139;Törökszentmiklós;Honvéd utca 37;2023.04.04;v7.4;12;raktárban;2023.09.04;ATM;Soft 3.0;192.168.157.238;Windows;341830843
140;Csömör;Kossuth utca 77;2018.12.25;v3.7;20;aktív;2019.09.25;ATM;Soft 3.7;192.168.143.19;Windows;378889660
141;Siklós;Kossuth tér 91;2017.08.12;v3.5;17;aktív;2018.02.12;ATM;Soft 3.3;192.168.20.99;Windows;613601222
142;Gyöngyös;Bartók Béla utca 50;2023.03.07;v4.8;13;-;2024.04.07;ATM;Soft 4.3;192.168.186.68;Windows;449980866
143;Érd;Temető utca 73;2022.01.15;v1.8;18;aktív;2022.12.15;ATM;Soft 3.8;192.168.70.83;Windows;765564448
144;Szombathely;Vörösmarty utca 5;2017.12.01;v7.6;12;-;2019.04.01;ATM;Soft 3.8;192.168.218.233;Windows;409896737
145;Balatonfüred;Szőlő utca 77;2022.07.09;v8.1;20;-;2024.05.09;ATM;Soft 2.3;192.168.125.229;Windows;383808978
146;Gyöngyös;Nyár utca 11;2020.12.16;v3.2;16;-;2022.03.16;ATM;Soft 4.8;192.168.124.171;Windows;725615114
147;Miskolc;Temető utca 72;2021.09.21;v4.8;19;-;2023.01.21;ATM;Soft 1.8;192.168.175.228;Windows;124235216
148;Szombathely;Vörösmarty utca 81;2022.07.20;v9.5;15;-;2023.04.20;ATM;Soft 2.4;192.168.142.227;Windows;585117528
149;Tapolca;Táncsics Mihály utca 70;2024.04.27;v1.2;12;aktív;2024.07.27;ATM;Soft 1.7;192.168.52.163;Windows;937022354
150;Püspökladány;Dózsa György utca 64;2016.10.08;v7.4;18;-;2017.05.08;ATM;Soft 1.1;192.168.213.250;Windows;898977861
151;Ráckeve;Bem utca 32;2021.02.05;v8.1;19;-;2022.11.05;ATM;Soft 2.4;192.168.249.35;Windows;891601624
152;Ózd;Hegyalja utca 90;2024.03.20;v6.6;13;-;2024.05.20;ATM;Soft 4.3;192.168.188.59;Windows;707375978
153;Eger;Jókai utca 27;2019.10.12;v2.8;20;-;2020.01.12;ATM;Soft 2.8;192.168.207.133;Windows;915617912
154;Pécs;Rét utca 5;2018.07.07;v7.6;12;aktív;2020.03.07;ATM;Soft 1.9;192.168.93.49;Windows;648573740
155;Szigetszentmiklós;Tavaszmező utca 83;2024.08.10;v9.5;15;-;2024.12.10;ATM;Soft 1.6;192.168.156.195;Windows;277412172
156;Szolnok;Jókai utca 75;2015.06.08;v9.0;15;-;2016.10.08;ATM;Soft 3.2;192.168.0.150;Windows;676094043
157;Nyíregyháza;Hunyadi utca 82;2016.02.20;v3.9;14;-;2017.04.20;ATM;Soft 3.1;192.168.73.95;Windows;892359344
158;Szigetszentmiklós;Ady Endre utca 73;2015.02.19;v2.4;17;-;2016.01.19;ATM;Soft 3.8;192.168.23.249;Windows;974284743
159;Gyöngyös;Madách utca 94;2021.05.10;v5.8;15;-;2022.01.10;ATM;Soft 3.2;192.168.87.232;Windows;448772603
160;Balatonfüred;Új utca 59;2019.07.26;v1.4;18;aktív;2019.09.26;ATM;Soft 4.2;192.168.238.142;Windows;180467002
161;Karcag;Erkel Ferenc utca 17;2019.12.04;v3.7;13;aktív;2020.07.04;ATM;Soft 3.5;192.168.170.253;Windows;627200953
162;Kiskunhalas;Sport utca 57;2021.12.08;v9.3;12;-;2023.07.08;ATM;Soft 3.1;192.168.226.23;Windows;858300663
163;Tapolca;Árpád utca 89;2019.01.01;v5.0;12;-;2019.12.01;ATM;Soft 2.4;192.168.38.3;Windows;897578516
164;Mezőkövesd;Madách utca 12;2015.09.27;v9.9;16;aktív;2016.08.27;ATM;Soft 1.6;192.168.130.39;Windows;427432750
165;Hatvan;Kert utca 27;2023.01.21;v8.2;15;raktárban;2023.12.21;ATM;Soft 1.8;192.168.96.56;Windows;145948919
166;Nagykőrös;Munkás utca 13;2016.09.05;v6.4;18;-;2016.10.05;ATM;Soft 4.3;192.168.180.168;Windows;276817345
167;Sümeg;Nyár utca 40;2020.11.03;v6.3;14;-;2021.02.03;ATM;Soft 2.6;192.168.48.115;Windows;599494929
168;Pilisvörösvár;Nyár utca 42;2019.10.28;v9.7;19;-;2021.07.28;ATM;Soft 2.5;192.168.81.217;Windows;221734680
169;Szombathely;Kert utca 32;2022.05.24;v2.5;13;-;2023.09.24;ATM;Soft 2.7;192.168.19.132;Windows;309266179
170;Jászapáti;Sport utca 93;2016.11.12;v3.9;18;raktárban;2016.12.12;ATM;Soft 3.0;192.168.160.74;Windows;462872486
171;Lőrinci;Alkotmány utca 31;2021.09.13;v1.0;18;-;2022.08.13;ATM;Soft 2.7;192.168.202.181;Windows;572061840
172;Tapolca;Szent István utca 89;2020.06.02;v8.3;20;-;2021.11.02;ATM;Soft 4.8;192.168.242.20;Windows;392263742
173;Kiskunfélegyháza;Ady Endre utca 13;2020.05.06;v4.6;16;-;2021.10.06;ATM;Soft 3.3;192.168.89.161;Windows;784703233
174;Budapest;Madách utca 76;2021.10.20;v2.1;16;aktív;2023.03.20;ATM;Soft 2.4;192.168.28.253;Windows;364253366
175;Vác;Árpád utca 70;2017.01.19;v9.3;17;aktív;2018.06.19;ATM;Soft 3.6;192.168.87.190;Windows;497338601
176;Szombathely;Temető utca 81;2015.03.21;v9.5;20;-;2015.04.21;ATM;Soft 2.2;192.168.239.14;Windows;754638779
177;Körmend;Mátyás király utca 59;2015.07.28;v7.0;17;-;2015.09.28;ATM;Soft 2.1;192.168.2.100;Windows;504637456
178;Tolna;Kossuth utca 5;2017.12.13;v2.4;20;-;2019.05.13;ATM;Soft 1.2;192.168.235.75;Windows;560990164
179;Karcag;Rákóczi utca 25;2024.05.06;v1.7;13;-;2024.10.06;ATM;Soft 3.0;192.168.29.164;Windows;933127612
180;Salgótarján;Hunyadi utca 38;2021.10.29;v1.8;17;aktív;2022.09.29;ATM;Soft 3.8;192.168.254.8;Windows;155948643
181;Gyál;Arany János utca 1;2022.05.15;v4.6;18;-;2022.10.15;ATM;Soft 2.4;192.168.208.113;Windows;150857767
182;Baja;Szabadság utca 27;2019.02.17;v1.9;17;aktív;2019.08.17;ATM;Soft 1.7;192.168.88.88;Windows;242954057
183;Kaposvár;Közép utca 4;2024.10.03;v2.2;20;-;2024.11.03;ATM;Soft 2.0;192.168.46.206;Windows;689095207
184;Kiskunhalas;Szőlő utca 74;2023.07.26;v7.5;14;-;2023.08.26;ATM;Soft 3.3;192.168.53.36;Windows;892731151
185;Nyíregyháza;Deák Ferenc utca 84;2019.02.18;v4.6;15;aktív;2019.07.18;ATM;Soft 3.0;192.168.36.115;Windows;393185376
186;Tiszaújváros;Fő utca 2;2024.09.04;v2.0;17;raktárban;2025.06.04;ATM;Soft 2.7;192.168.122.54;Windows;164295094
187;Szentgotthárd;Dózsa György utca 14;2020.06.30;v3.8;19;-;2021.01.30;ATM;Soft 1.5;192.168.50.212;Windows;740768642
188;Komló;Táncsics Mihály utca 46;2023.09.05;v8.6;15;-;2024.06.05;ATM;Soft 1.7;192.168.2.144;Windows;289723006
189;Kaposvár;Hársfa utca 52;2020.07.26;v6.3;13;aktív;2021.02.26;ATM;Soft 4.3;192.168.16.253;Windows;845771702
190;Mosonmagyaróvár;Mátyás király utca 4;2018.07.09;v9.8;13;aktív;2019.06.09;ATM;Soft 3.2;192.168.231.153;Windows;102877504
191;Pilisvörösvár;Hegyalja utca 70;2022.08.07;v4.1;20;-;2022.10.07;ATM;Soft 3.3;192.168.196.160;Windows;968139323
192;Gyömrő;Nyár utca 44;2021.04.23;v1.3;20;aktív;2023.02.23;ATM;Soft 2.8;192.168.84.164;Windows;797371308
193;Érd;Tavasz utca 74;2020.06.26;v3.6;20;-;2021.08.26;ATM;Soft 2.4;192.168.144.24;Windows;970366085
194;Kunszentmiklós;Erkel Ferenc utca 77;2020.12.12;v3.2;18;-;2022.11.12;ATM;Soft 4.5;192.168.7.234;Windows;223221733
195;Fót;Zrínyi utca 6;2020.09.30;v9.3;13;aktív;2021.11.30;ATM;Soft 4.5;192.168.81.36;Windows;125151383
196;Békéscsaba;Vasút utca 38;2018.06.14;v2.8;16;-;2018.09.14;ATM;Soft 2.9;192.168.46.173;Windows;618273112
197;Győr;Rákóczi tér 77;2017.01.11;v8.7;17;aktív;2017.05.11;ATM;Soft 1.2;192.168.136.229;Windows;519197279
