Id;Location;Address;CreationDate;ReleaseVersion;InstallerId;Status;LastMaintenance;TerminalType;SoftwareVersion;IpAddress;OperatingSystem;SimCard
14;Pilisszentiván;Kossuth tér 71;2018. 05. 22. 0:00:00;v5.0;12;-;2019. 09. 22. 0:00:00;ATM;Soft 3.3;192.168.14.188;Windows;153773417
15;Debrecen;Dózsa György utca 77;2022. 05. 30. 0:00:00;v4.3;13;-;2024. 03. 30. 0:00:00;ATM;Soft 3.8;192.168.72.123;Windows;831741570
16;Füzesabony;Alkotmány utca 59;2018. 04. 12. 0:00:00;v8.9;14;aktív;2018. 09. 12. 0:00:00;ATM;Soft 3.6;192.168.200.212;Windows;716854344
17;Hajdúszoboszló;Rákóczi utca 26;2023. 09. 17. 0:00:00;v9.1;19;-;2025. 08. 17. 0:00:00;ATM;Soft 3.2;192.168.93.27;Windows;835370411
18;Balatonalmádi;Iskola utca 30;2017. 06. 20. 0:00:00;v4.4;19;raktárban;2018. 11. 20. 0:00:00;ATM;Soft 1.1;192.168.15.49;Windows;530375340
19;Kaposvár;Új utca 87;2018. 04. 04. 0:00:00;v4.9;20;aktív;2019. 08. 04. 0:00:00;ATM;Soft 3.1;192.168.169.197;Windows;874133549
20;Eger;Akácfa utca 83;2015. 10. 21. 0:00:00;v5.2;14;aktív;2015. 11. 21. 0:00:00;ATM;Soft 1.7;192.168.226.109;Windows;366747275
21;Kazincbarcika;Sport utca 97;2021. 07. 09. 0:00:00;v8.1;18;-;2022. 07. 09. 0:00:00;ATM;Soft 1.3;192.168.26.102;Windows;908086997
22;Kiskunfélegyháza;Hunyadi utca 16;2017. 04. 05. 0:00:00;v4.6;16;-;2018. 05. 05. 0:00:00;ATM;Soft 2.2;192.168.223.30;Windows;699675018
23;Tiszafüred;Sport utca 47;2024. 06. 05. 0:00:00;v7.9;20;-;2024. 09. 05. 0:00:00;ATM;Soft 3.9;192.168.174.221;Windows;322802176
24;Gödöllő;Rákóczi utca 37;2016. 02. 12. 0:00:00;v3.7;18;raktárban;2017. 05. 12. 0:00:00;ATM;Soft 4.0;192.168.218.239;Windows;473293911
25;Baja;Templom utca 76;2015. 08. 17. 0:00:00;v7.1;16;raktárban;2016. 01. 17. 0:00:00;ATM;Soft 2.7;192.168.6.15;Windows;719741895
26;Tatabánya;Iskola utca 79;2022. 04. 01. 0:00:00;v2.4;15;-;2022. 07. 01. 0:00:00;ATM;Soft 1.4;192.168.41.45;Windows;988048832
27;Eger;Rózsa utca 5;2024. 07. 20. 0:00:00;v9.6;12;aktív;2025. 02. 20. 0:00:00;ATM;Soft 4.9;192.168.86.146;Windows;306785333
28;Kalocsa;Vörösmarty utca 4;2015. 12. 19. 0:00:00;v4.3;12;-;2017. 01. 19. 0:00:00;ATM;Soft 3.1;192.168.212.30;Windows;841654815
29;Kiskunfélegyháza;Orgona utca 30;2015. 08. 20. 0:00:00;v5.6;19;raktárban;2017. 02. 20. 0:00:00;ATM;Soft 4.1;192.168.44.100;Windows;822004432
30;Budaörs;Kossuth utca 41;2018. 07. 14. 0:00:00;v5.4;13;aktív;2020. 06. 14. 0:00:00;ATM;Soft 4.0;192.168.20.20;Windows;150624656
31;Füzesabony;Ady Endre utca 43;2020. 01. 13. 0:00:00;v3.2;19;raktárban;2020. 04. 13. 0:00:00;ATM;Soft 1.4;192.168.250.175;Windows;476650065
32;Siklós;Gyöngyvirág utca 49;2021. 01. 24. 0:00:00;v2.8;18;aktív;2022. 02. 24. 0:00:00;ATM;Soft 4.0;192.168.38.67;Windows;684011487
33;Kiskunfélegyháza;Templom utca 83;2019. 09. 11. 0:00:00;v5.2;20;-;2020. 09. 11. 0:00:00;ATM;Soft 4.7;192.168.81.115;Windows;874242678
34;Lőrinci;Hársfa utca 70;2016. 09. 24. 0:00:00;v6.4;18;-;2016. 12. 24. 0:00:00;ATM;Soft 3.4;192.168.129.71;Windows;849642348
35;Szigetszentmiklós;Deák Ferenc utca 51;2023. 08. 27. 0:00:00;v1.2;14;raktárban;2024. 10. 27. 0:00:00;ATM;Soft 4.9;192.168.68.194;Windows;929842577
36;Mohács;Gyöngyvirág utca 93;2024. 03. 31. 0:00:00;v9.1;13;-;2024. 12. 31. 0:00:00;ATM;Soft 4.1;192.168.216.193;Windows;491504709
37;Szekszárd;Mátyás király utca 53;2021. 04. 29. 0:00:00;v5.3;13;-;2022. 09. 29. 0:00:00;ATM;Soft 4.6;192.168.249.232;Windows;688854343
38;Miskolc;Kossuth tér 26;2016. 03. 15. 0:00:00;v6.4;15;-;2017. 07. 15. 0:00:00;ATM;Soft 3.9;192.168.47.200;Windows;601233286
39;Hajdúböszörmény;Arany János utca 48;2018. 03. 15. 0:00:00;v2.6;13;aktív;2019. 07. 15. 0:00:00;ATM;Soft 3.6;192.168.18.50;Windows;494916768
40;Ráckeve;Jázmin utca 23;2022. 06. 27. 0:00:00;v1.9;12;aktív;2023. 01. 27. 0:00:00;ATM;Soft 1.9;192.168.23.198;Windows;582419504
41;Ózd;Vörösmarty utca 77;2015. 06. 13. 0:00:00;v6.3;19;-;2017. 03. 13. 0:00:00;ATM;Soft 4.0;192.168.54.171;Windows;466817183
42;Mosonmagyaróvár;Hegyalja utca 98;2019. 09. 01. 0:00:00;v5.1;20;raktárban;2020. 02. 01. 0:00:00;ATM;Soft 2.8;192.168.111.232;Windows;900505055
43;Szigetszentmiklós;Honvéd utca 29;2017. 01. 08. 0:00:00;v2.3;16;-;2018. 05. 08. 0:00:00;ATM;Soft 2.7;192.168.229.132;Windows;138459507
44;Kőszeg;Vörösmarty utca 53;2024. 04. 18. 0:00:00;v5.0;12;raktárban;2025. 08. 18. 0:00:00;ATM;Soft 3.2;192.168.73.167;Windows;478608675
45;Pilisszentiván;Tavaszmező utca 34;2023. 12. 06. 0:00:00;v5.3;13;-;2025. 05. 06. 0:00:00;ATM;Soft 1.1;192.168.159.200;Windows;948743428
46;Tiszafüred;Arany János utca 74;2015. 07. 21. 0:00:00;v9.0;20;aktív;2016. 07. 21. 0:00:00;ATM;Soft 2.5;192.168.170.141;Windows;450827706
47;Szentendre;Alkotmány utca 21;2020. 08. 22. 0:00:00;v5.9;16;-;2022. 01. 22. 0:00:00;ATM;Soft 2.7;192.168.83.88;Windows;378669303
48;Karcag;Deák Ferenc utca 32;2020. 11. 30. 0:00:00;v3.9;13;-;2021. 12. 30. 0:00:00;ATM;Soft 1.9;192.168.240.151;Windows;330837335
49;Dunaújváros;Gyöngyvirág utca 91;2019. 04. 22. 0:00:00;v3.6;15;aktív;2019. 07. 22. 0:00:00;ATM;Soft 4.3;192.168.131.140;Windows;651493895
50;Tapolca;Szabadság utca 22;2018. 04. 04. 0:00:00;v4.4;18;raktárban;2019. 08. 04. 0:00:00;ATM;Soft 3.5;192.168.47.220;Windows;431125441
51;Balatonalmádi;Táncsics Mihály utca 86;2017. 04. 19. 0:00:00;v8.2;20;raktárban;2017. 10. 19. 0:00:00;ATM;Soft 4.8;192.168.206.13;Windows;505943731
52;Berettyóújfalu;Erkel Ferenc utca 22;2021. 05. 11. 0:00:00;v1.8;12;-;2022. 08. 11. 0:00:00;ATM;Soft 2.9;192.168.79.219;Windows;606932140
53;Komló;Munkás utca 57;2021. 08. 24. 0:00:00;v2.7;17;-;2023. 05. 24. 0:00:00;ATM;Soft 4.9;192.168.57.173;Windows;530845656
54;Baja;Orgona utca 37;2023. 02. 25. 0:00:00;v4.4;14;-;2025. 01. 25. 0:00:00;ATM;Soft 4.7;192.168.118.224;Windows;568390984
55;Jászberény;Alkotmány utca 75;2019. 09. 28. 0:00:00;v5.5;15;-;2020. 04. 28. 0:00:00;ATM;Soft 3.1;192.168.171.30;Windows;764410080
56;Kecskemét;Új utca 56;2022. 02. 24. 0:00:00;v1.9;20;aktív;2023. 04. 24. 0:00:00;ATM;Soft 3.4;192.168.61.114;Windows;593494110
57;Budakeszi;Orgona utca 60;2022. 07. 02. 0:00:00;v2.1;19;aktív;2023. 09. 02. 0:00:00;ATM;Soft 2.7;192.168.33.111;Windows;558566087
58;Kisvárda;Árpád utca 20;2019. 12. 05. 0:00:00;v5.7;18;-;2021. 03. 05. 0:00:00;ATM;Soft 2.8;192.168.101.9;Windows;737151765
59;Gödöllő;Rákóczi tér 94;2023. 01. 27. 0:00:00;v3.5;12;-;2024. 10. 27. 0:00:00;ATM;Soft 3.7;192.168.172.250;Windows;949146511
60;Karcag;Árpád utca 15;2022. 01. 24. 0:00:00;v7.4;14;-;2023. 01. 24. 0:00:00;ATM;Soft 2.6;192.168.97.14;Windows;123470307
61;Dabas;Csokonai utca 90;2020. 06. 19. 0:00:00;v7.2;18;aktív;2021. 05. 19. 0:00:00;ATM;Soft 3.8;192.168.167.135;Windows;512046735
62;Püspökladány;Táncsics Mihály utca 60;2015. 02. 20. 0:00:00;v5.5;16;-;2016. 02. 20. 0:00:00;ATM;Soft 1.3;192.168.127.158;Windows;196905008
63;Lőrinci;Honvéd utca 20;2016. 05. 28. 0:00:00;v3.5;18;aktív;2016. 12. 28. 0:00:00;ATM;Soft 4.3;192.168.1.25;Windows;126604736
64;Gödöllő;Temető utca 49;2024. 01. 27. 0:00:00;v4.4;13;-;2024. 07. 27. 0:00:00;ATM;Soft 4.8;192.168.232.79;Windows;247165986
65;Kaba;Hársfa utca 51;2018. 12. 14. 0:00:00;v4.4;20;-;2020. 04. 14. 0:00:00;ATM;Soft 1.9;192.168.63.126;Windows;686916570
66;Szombathely;Madách utca 17;2021. 04. 01. 0:00:00;v1.5;20;aktív;2022. 03. 01. 0:00:00;ATM;Soft 1.2;192.168.6.54;Windows;971444791
67;Debrecen;Rózsa utca 86;2016. 05. 25. 0:00:00;v8.2;19;aktív;2016. 07. 25. 0:00:00;ATM;Soft 3.2;192.168.200.146;Windows;966072604
68;Csongrád;Jókai utca 37;2017. 03. 21. 0:00:00;v3.2;15;-;2018. 09. 21. 0:00:00;ATM;Soft 2.4;192.168.18.46;Windows;817469267
69;Mosonmagyaróvár;Táncsics Mihály utca 69;2022. 11. 06. 0:00:00;v3.4;13;-;2023. 08. 06. 0:00:00;ATM;Soft 2.5;192.168.203.25;Windows;222794129
70;Sümeg;Közép utca 57;2018. 11. 06. 0:00:00;v5.3;12;-;2019. 03. 06. 0:00:00;ATM;Soft 4.7;192.168.27.212;Windows;110671346
71;Szentgotthárd;Hegyalja utca 20;2021. 02. 10. 0:00:00;v1.7;20;-;2021. 04. 10. 0:00:00;ATM;Soft 4.4;192.168.99.231;Windows;978273256
72;Orosháza;Táncsics Mihály utca 59;2016. 12. 29. 0:00:00;v6.5;13;-;2017. 03. 29. 0:00:00;ATM;Soft 2.7;192.168.50.255;Windows;905822314
73;Celldömölk;Ady Endre utca 66;2018. 03. 06. 0:00:00;v6.5;20;-;2018. 09. 06. 0:00:00;ATM;Soft 3.4;192.168.45.197;Windows;555414746
74;Budapest;Bartók Béla utca 9;2024. 08. 25. 0:00:00;v3.1;16;aktív;2025. 09. 25. 0:00:00;ATM;Soft 1.6;192.168.139.202;Windows;187387504
75;Dabas;Zrínyi utca 88;2019. 10. 28. 0:00:00;v1.9;17;aktív;2020. 01. 28. 0:00:00;ATM;Soft 1.8;192.168.99.166;Windows;811216413
76;Körmend;Virág utca 73;2020. 12. 15. 0:00:00;v9.4;15;-;2021. 04. 15. 0:00:00;ATM;Soft 3.9;192.168.10.78;Windows;583634647
77;Debrecen;Fő utca 34;2020. 12. 17. 0:00:00;v4.1;16;raktárban;2022. 01. 17. 0:00:00;ATM;Soft 1.2;192.168.92.52;Windows;448426012
78;Érd;Bartók Béla utca 40;2023. 11. 03. 0:00:00;v3.6;15;raktárban;2024. 10. 03. 0:00:00;ATM;Soft 2.5;192.168.211.121;Windows;731346206
79;Eger;Béke utca 94;2024. 06. 29. 0:00:00;v7.8;13;aktív;2025. 06. 29. 0:00:00;ATM;Soft 4.1;192.168.196.127;Windows;458088375
80;Gyöngyös;Arany János utca 24;2022. 05. 29. 0:00:00;v7.3;15;-;2023. 07. 29. 0:00:00;ATM;Soft 1.2;192.168.191.170;Windows;712910790
81;Pápa;Sport utca 10;2021. 02. 25. 0:00:00;v9.5;13;raktárban;2022. 08. 25. 0:00:00;ATM;Soft 4.1;192.168.153.20;Windows;592244407
82;Gyál;Kossuth utca 90;2016. 12. 01. 0:00:00;v1.6;15;aktív;2018. 09. 01. 0:00:00;ATM;Soft 2.2;192.168.50.160;Windows;898464118
83;Dunakeszi;Rákóczi utca 11;2023. 10. 25. 0:00:00;v1.1;14;-;2023. 11. 25. 0:00:00;ATM;Soft 2.2;192.168.97.91;Windows;242953218
84;Esztergom;Deák Ferenc utca 66;2017. 10. 07. 0:00:00;v9.6;18;raktárban;2018. 01. 07. 0:00:00;ATM;Soft 4.3;192.168.175.9;Windows;327198645
85;Tatabánya;Bem utca 77;2024. 01. 17. 0:00:00;v7.9;20;-;2024. 03. 17. 0:00:00;ATM;Soft 1.0;192.168.160.23;Windows;188643675
86;Makó;Hegyalja utca 51;2015. 03. 25. 0:00:00;v8.5;19;-;2016. 12. 25. 0:00:00;ATM;Soft 2.0;192.168.63.36;Windows;346922451
87;Tiszaújváros;Templom utca 76;2020. 11. 30. 0:00:00;v7.4;19;aktív;2022. 06. 30. 0:00:00;ATM;Soft 1.0;192.168.67.146;Windows;513602924
88;Törökszentmiklós;Deák Ferenc utca 9;2016. 11. 14. 0:00:00;v3.0;13;aktív;2018. 07. 14. 0:00:00;ATM;Soft 1.8;192.168.156.212;Windows;616025515
89;Zalaegerszeg;Kossuth tér 38;2022. 03. 27. 0:00:00;v2.5;19;aktív;2023. 03. 27. 0:00:00;ATM;Soft 2.0;192.168.77.117;Windows;430266679
90;Dunaújváros;Szabadság utca 28;2018. 02. 11. 0:00:00;v7.2;16;aktív;2018. 10. 11. 0:00:00;ATM;Soft 1.4;192.168.200.48;Windows;765654475
91;Hódmezővásárhely;Templom utca 43;2018. 01. 18. 0:00:00;v1.1;18;-;2018. 04. 18. 0:00:00;ATM;Soft 2.6;192.168.113.88;Windows;837351024
92;Siklós;Hegyalja utca 97;2016. 03. 28. 0:00:00;v3.7;18;-;2018. 01. 28. 0:00:00;ATM;Soft 4.9;192.168.145.236;Windows;237036596
93;Balassagyarmat;Deák Ferenc utca 23;2016. 02. 16. 0:00:00;v7.5;16;aktív;2017. 02. 16. 0:00:00;ATM;Soft 2.8;192.168.12.10;Windows;982671237
94;Veszprém;Gyöngyvirág utca 25;2024. 03. 15. 0:00:00;v6.8;20;-;2026. 01. 15. 0:00:00;ATM;Soft 3.6;192.168.94.235;Windows;243274584
95;Jászapáti;Kert utca 80;2018. 10. 29. 0:00:00;v9.8;15;raktárban;2020. 07. 29. 0:00:00;ATM;Soft 4.3;192.168.228.38;Windows;944169988
96;Nyírbátor;Hegyalja utca 34;2019. 02. 15. 0:00:00;v9.9;12;-;2019. 10. 15. 0:00:00;ATM;Soft 3.0;192.168.176.227;Windows;456616605
97;Siklós;Templom utca 23;2023. 05. 23. 0:00:00;v7.8;13;raktárban;2024. 06. 23. 0:00:00;ATM;Soft 3.0;192.168.173.236;Windows;854536468
98;Érd;Vasút utca 8;2018. 07. 05. 0:00:00;v3.3;19;aktív;2019. 10. 05. 0:00:00;ATM;Soft 4.1;192.168.149.23;Windows;717739992
99;Gyula;Rét utca 82;2018. 06. 18. 0:00:00;v4.1;16;-;2019. 08. 18. 0:00:00;ATM;Soft 1.4;192.168.173.239;Windows;705808111
100;Miskolc;Templom utca 37;2017. 05. 31. 0:00:00;v7.6;16;-;2017. 08. 31. 0:00:00;ATM;Soft 3.4;192.168.68.72;Windows;786226503
101;Hajdúböszörmény;Arany János utca 76;2022. 05. 15. 0:00:00;v7.6;18;aktív;2022. 06. 15. 0:00:00;ATM;Soft 2.3;192.168.189.63;Windows;715350834
102;Tiszaújváros;Rózsa utca 25;2015. 08. 17. 0:00:00;v3.3;15;-;2016. 11. 17. 0:00:00;ATM;Soft 2.8;192.168.65.189;Windows;522169680
103;Gárdony;Mátyás király utca 56;2021. 11. 07. 0:00:00;v4.5;12;-;2023. 02. 07. 0:00:00;ATM;Soft 4.3;192.168.211.95;Windows;689712447
104;Miskolc;Jókai utca 63;2021. 01. 10. 0:00:00;v6.6;20;-;2021. 02. 10. 0:00:00;ATM;Soft 1.0;192.168.226.173;Windows;287649175
105;Pilisvörösvár;Szőlő utca 15;2015. 03. 02. 0:00:00;v3.5;12;aktív;2015. 11. 02. 0:00:00;ATM;Soft 3.1;192.168.123.184;Windows;961074291
106;Érd;Hunyadi utca 4;2022. 08. 24. 0:00:00;v1.4;18;raktárban;2023. 10. 24. 0:00:00;ATM;Soft 2.2;192.168.250.180;Windows;314007524
107;Tapolca;Honvéd utca 45;2023. 01. 08. 0:00:00;v5.6;12;-;2023. 06. 08. 0:00:00;ATM;Soft 3.2;192.168.127.195;Windows;218219802
108;Mosonmagyaróvár;Deák Ferenc utca 35;2017. 12. 24. 0:00:00;v1.1;20;-;2019. 03. 24. 0:00:00;ATM;Soft 2.8;192.168.251.82;Windows;148042479
109;Gödöllő;Erkel Ferenc utca 64;2020. 01. 17. 0:00:00;v6.1;14;-;2020. 02. 17. 0:00:00;ATM;Soft 4.2;192.168.220.233;Windows;686081253
110;Körmend;Zrínyi utca 76;2019. 12. 06. 0:00:00;v9.5;12;-;2021. 09. 06. 0:00:00;ATM;Soft 1.3;192.168.56.14;Windows;327908426
111;Tiszafüred;Alkotmány utca 60;2016. 09. 23. 0:00:00;v9.4;16;aktív;2017. 08. 23. 0:00:00;ATM;Soft 1.0;192.168.141.43;Windows;640630481
112;Salgótarján;Kert utca 10;2019. 03. 04. 0:00:00;v1.4;15;raktárban;2019. 12. 04. 0:00:00;ATM;Soft 2.1;192.168.224.241;Windows;859946734
113;Kiskunhalas;Árpád utca 17;2018. 06. 23. 0:00:00;v6.4;16;aktív;2019. 03. 23. 0:00:00;ATM;Soft 2.5;192.168.110.182;Windows;410003451
114;Makó;Tavasz utca 19;2020. 11. 13. 0:00:00;v6.2;15;-;2021. 08. 13. 0:00:00;ATM;Soft 1.5;192.168.202.174;Windows;309468586
115;Siklós;Közép utca 90;2019. 08. 30. 0:00:00;v6.7;14;-;2019. 10. 30. 0:00:00;ATM;Soft 1.1;192.168.77.219;Windows;436314354
116;Eger;Zrínyi utca 25;2024. 07. 30. 0:00:00;v9.6;18;-;2026. 01. 30. 0:00:00;ATM;Soft 1.9;192.168.41.191;Windows;572781450
117;Bonyhád;Nyár utca 47;2017. 03. 11. 0:00:00;v7.3;18;aktív;2018. 01. 11. 0:00:00;ATM;Soft 3.7;192.168.115.223;Windows;891107019
118;Balatonfüred;Iskola utca 27;2018. 09. 11. 0:00:00;v3.8;18;raktárban;2019. 04. 11. 0:00:00;ATM;Soft 1.6;192.168.31.61;Windows;650602783
119;Kaposvár;Sport utca 48;2021. 05. 14. 0:00:00;v7.7;18;raktárban;2021. 08. 14. 0:00:00;ATM;Soft 1.6;192.168.155.204;Windows;495703449
120;Ráckeve;Hunyadi utca 94;2019. 05. 19. 0:00:00;v9.7;12;-;2019. 07. 19. 0:00:00;ATM;Soft 4.2;192.168.124.181;Windows;770361713
121;Gyöngyös;Petőfi utca 24;2020. 10. 25. 0:00:00;v9.3;20;-;2021. 02. 25. 0:00:00;ATM;Soft 2.7;192.168.241.9;Windows;197134624
122;Balatonfüred;Bartók Béla utca 78;2021. 05. 30. 0:00:00;v8.6;17;-;2022. 12. 30. 0:00:00;ATM;Soft 4.5;192.168.88.161;Windows;735966449
123;Salgótarján;Ady Endre utca 54;2016. 07. 22. 0:00:00;v7.9;20;aktív;2018. 05. 22. 0:00:00;ATM;Soft 2.7;192.168.220.118;Windows;669806168
124;Komárom;Alkotmány utca 31;2021. 08. 26. 0:00:00;v5.0;15;aktív;2023. 03. 26. 0:00:00;ATM;Soft 1.9;192.168.74.78;Windows;436024897
125;Tiszafüred;Ady Endre utca 95;2018. 03. 12. 0:00:00;v5.8;20;-;2018. 10. 12. 0:00:00;ATM;Soft 1.8;192.168.152.23;Windows;967355421
126;Kunszentmiklós;Dózsa György utca 17;2017. 06. 06. 0:00:00;v4.9;13;-;2017. 12. 06. 0:00:00;ATM;Soft 2.7;192.168.124.70;Windows;165483268
127;Pápa;Szabadság utca 89;2017. 05. 07. 0:00:00;v2.2;19;-;2018. 02. 07. 0:00:00;ATM;Soft 1.8;192.168.253.34;Windows;341859413
128;Nagykáta;Iskola utca 35;2017. 05. 13. 0:00:00;v9.7;17;aktív;2018. 05. 13. 0:00:00;ATM;Soft 1.3;192.168.164.215;Windows;572000283
129;Balassagyarmat;Arany János utca 15;2019. 04. 07. 0:00:00;v4.4;12;-;2020. 01. 07. 0:00:00;ATM;Soft 3.7;192.168.98.199;Windows;691643170
130;Pápa;Temető utca 60;2022. 08. 17. 0:00:00;v3.1;13;-;2022. 12. 17. 0:00:00;ATM;Soft 4.6;192.168.223.39;Windows;808105079
131;Zirc;Gyöngyvirág utca 55;2017. 11. 08. 0:00:00;v9.2;15;-;2019. 03. 08. 0:00:00;ATM;Soft 4.7;192.168.55.187;Windows;492061498
132;Komló;Dózsa György utca 89;2019. 04. 12. 0:00:00;v7.9;16;raktárban;2019. 12. 12. 0:00:00;ATM;Soft 2.3;192.168.235.71;Windows;117573488
133;Gödöllő;Csokonai utca 37;2019. 03. 03. 0:00:00;v4.2;14;raktárban;2020. 05. 03. 0:00:00;ATM;Soft 3.3;192.168.211.63;Windows;850612690
134;Kaposvár;Táncsics Mihály utca 99;2019. 07. 19. 0:00:00;v5.3;12;-;2021. 03. 19. 0:00:00;ATM;Soft 3.0;192.168.68.130;Windows;944121438
135;Pilisszentiván;Gyöngyvirág utca 47;2018. 12. 28. 0:00:00;v4.6;12;-;2020. 09. 28. 0:00:00;ATM;Soft 4.6;192.168.76.116;Windows;377710155
136;Kunszentmiklós;Kert utca 85;2023. 02. 20. 0:00:00;v7.0;13;-;2024. 12. 20. 0:00:00;ATM;Soft 4.0;192.168.81.231;Windows;847103133
137;Dabas;Szabadság utca 17;2022. 12. 12. 0:00:00;v7.0;20;-;2023. 12. 12. 0:00:00;ATM;Soft 2.5;192.168.29.73;Windows;107383565
138;Nagykanizsa;Szabadság utca 94;2018. 04. 19. 0:00:00;v7.6;12;aktív;2018. 09. 19. 0:00:00;ATM;Soft 2.5;192.168.1.211;Windows;368624992
139;Dunaújváros;Vörösmarty utca 2;2015. 08. 15. 0:00:00;v6.1;16;aktív;2016. 08. 15. 0:00:00;ATM;Soft 1.7;192.168.185.251;Windows;970461177
140;Dunaújváros;Hársfa utca 82;2020. 08. 28. 0:00:00;v8.7;16;aktív;2022. 01. 28. 0:00:00;ATM;Soft 4.9;192.168.250.129;Windows;430326755
141;Tapolca;Munkás utca 63;2015. 12. 20. 0:00:00;v6.1;20;-;2016. 10. 20. 0:00:00;ATM;Soft 4.5;192.168.120.77;Windows;975208713
142;Lőrinci;Hegyalja utca 49;2015. 12. 22. 0:00:00;v5.2;15;-;2017. 06. 22. 0:00:00;ATM;Soft 2.4;192.168.97.220;Windows;750389522
143;Komárom;Szent István utca 58;2018. 03. 27. 0:00:00;v4.0;17;aktív;2018. 09. 27. 0:00:00;ATM;Soft 3.6;192.168.228.254;Windows;220106364
144;Karcag;Erkel Ferenc utca 56;2018. 01. 20. 0:00:00;v9.3;14;raktárban;2019. 10. 20. 0:00:00;ATM;Soft 4.7;192.168.59.198;Windows;543037751
145;Mohács;Bartók Béla utca 62;2016. 03. 21. 0:00:00;v4.2;14;-;2018. 01. 21. 0:00:00;ATM;Soft 4.7;192.168.211.143;Windows;301676617
146;Szentendre;Honvéd utca 72;2019. 04. 11. 0:00:00;v2.5;12;-;2019. 12. 11. 0:00:00;ATM;Soft 3.3;192.168.46.47;Windows;572062685
147;Szeged;Mátyás király utca 83;2019. 11. 12. 0:00:00;v5.3;17;-;2021. 08. 12. 0:00:00;ATM;Soft 2.4;192.168.160.103;Windows;259126057
148;Berettyóújfalu;Honvéd utca 21;2021. 08. 17. 0:00:00;v3.7;18;aktív;2023. 01. 17. 0:00:00;ATM;Soft 4.5;192.168.43.86;Windows;624203535
149;Marcali;Közép utca 17;2016. 01. 19. 0:00:00;v8.4;20;raktárban;2017. 10. 19. 0:00:00;ATM;Soft 1.6;192.168.24.101;Windows;261116667
150;Törökszentmiklós;Petőfi utca 35;2016. 06. 14. 0:00:00;v4.0;12;raktárban;2016. 07. 14. 0:00:00;ATM;Soft 4.3;192.168.29.249;Windows;155431371
151;Kiskunhalas;Rózsa utca 80;2016. 01. 07. 0:00:00;v1.6;13;aktív;2017. 11. 07. 0:00:00;ATM;Soft 3.8;192.168.182.44;Windows;651592827
152;Érd;Új utca 27;2019. 02. 27. 0:00:00;v2.1;14;aktív;2019. 05. 27. 0:00:00;ATM;Soft 2.7;192.168.95.198;Windows;266696965
153;Nyíregyháza;Árpád utca 58;2021. 09. 19. 0:00:00;v3.0;13;raktárban;2023. 02. 19. 0:00:00;ATM;Soft 4.5;192.168.25.29;Windows;624208487
154;Gyula;Szabadság utca 24;2022. 07. 03. 0:00:00;v2.6;20;aktív;2023. 12. 03. 0:00:00;ATM;Soft 4.5;192.168.186.135;Windows;307957315
